text,intent
Mở nhạc lên nào,mo_nhac
Hãy phát ngẫu nhiên cho tôi một bài hát,mo_nhac
Cho tôi một bài nhạc để tỏ tình nào,mo_nhac
"Bài hát của Tóc tiên đang rất hay, phát dùm tôi một trong những bài đó",mo_nhac
"Tôi sắp đi làm việc rồi, hãy cho tôi bài hát nào cho có động lực với",mo_nhac
Bật cho tôi một ca khúc mà bạn cho là hay,mo_nhac
Cho tôi một bài hát thật hay với,mo_nhac
Hãy chọn cho tôi một ca khúc thật tuyệt với,mo_nhac
Tôi muốn nghe ca khúc hay nhất hiện tại,mo_nhac
Bài hát mà bạn yêu thích nhất là gì thế,mo_nhac
Hãy hát cho tôi nghe với,mo_nhac
Hãy cho tôi nghe giọng hát của bạn,mo_nhac
Hát cho chúng tôi nghe một ca khúc mà bạn ưng ý nhất,mo_nhac
Chúng tôi muốn được nghe một bài nhạc sôi động,mo_nhac
Hãy đề suất cho chúng tôi một bài nhạc giáng sinh nhé,mo_nhac
Chúng tôi đang muốn nghe một bài hát to và tròn,mo_nhac
Hãy cho tôi một gợi ý một bài hát để nghe vào lúc này,mo_nhac
Phát cho tôi ca khúc của Trịnh Công Sơn,mo_nhac
Bật cho tôi tí nhạc quẩy nào ,mo_nhac
Hãy cho chúng tôi nghe những bài nhạc quê hương,mo_nhac
Hãy thử bật cho tôi bài nhạc Quỳnh,mo_nhac
Bạn hãy bật cho tôi một bài nhạc Quỳnh,mo_nhac
Phát cho lại cho tôi một bài nhạc Quỳnh,mo_nhac
Hãy cho tôi thưởng thức bài hát thú vị,mo_nhac
Lịch làm việc mai của tôi thế nào,lich_lam_viec
Mai lịch làm việc thế nào,lich_lam_viec
Chiều nay có gì hot không,lich_lam_viec
Nay có lịch học không ,lich_lam_viec
Lịch làm việc chiều nay của tôi thế nào,lich_lam_viec
 Nay có phải làm đồ án không ,lich_lam_viec
Tuần sau sẽ phải hoàn thành những deadline nào,lich_lam_viec
Cho tôi lịch làm việc tuần sau,lich_lam_viec
Tuần sau tôi được nghỉ mấy ngày,lich_lam_viec
Tuần sau tôi có phải làm vào thứ 7 không?,lich_lam_viec
Tối mai tôi có phải tăng ca không,lich_lam_viec
Tuần tới có sự kiện gì ở công ty tôi phải lưu tâm không,lich_lam_viec
Cho hỏi lịch làm việc của mentor tôi,lich_lam_viec
mentor tôi chiều nay có khoảng bao nhiêu thời gian rảnh,lich_lam_viec
"Tháng vừa qua, trung bình mỗi tuần mentor dành bao nhiêu thời gian cho tôi",lich_lam_viec
Cho tôi lịch nghỉ Tết Nguyên Đán 2022 của công ty,lich_lam_viec
Sau Tết tôi bắt đầu đi làm vào ngày nào,lich_lam_viec
Tôi còn bao nhiêu ngày nghỉ phép hưởng lương,lich_lam_viec
Hợp đồng lao động của tôi kéo dài tới ngày nào,lich_lam_viec
Thứ 7 này có lịch không nhỉ ,lich_lam_viec
Lịch làm việc của tôi sáng nay thế nào,lich_lam_viec
Tháng sau tôi có lịch đi công tác không,lich_lam_viec
Lịch đi công tác của tôi tháng sau vào những ngày nào,lich_lam_viec
Mai tôi có được nghỉ không,lich_lam_viec
Cho tôi hỏi lịch tăng ca tháng này,lich_lam_viec
Hiện ra lịch họp của tôi tuần sau,lich_lam_viec
Tuần này có cuộc họp nào không?,lich_lam_viec
Cuộc họp ngày mai lúc mấy giờ?,lich_lam_viec
báo lịch làm việc ngày mai,lich_lam_viec
mai có cuộc họp nào không?,lich_lam_viec
đổi lịch họp sáng mai lên buổi chiều,lich_lam_viec
cuối tuần có làm việc bù không?,lich_lam_viec
thứ ba tới lịch làm việc như thế nào?,lich_lam_viec
những deadline nào cần hoàn thành trong ngày mai,lich_lam_viec
những deadline nào cần làm trong hôm nay,lich_lam_viec
thứ tư có cuộc họp nào không?,lich_lam_viec
thứ tư có deadline nào không,lich_lam_viec
đi gặp đối tác vào ngày nào?,lich_lam_viec
tuần tới có buổi nào không có cuộc họp không?,lich_lam_viec
ngày mai phải gặp những đối tác nào,lich_lam_viec
ngày mai có họp với chủ tịch không?,lich_lam_viec
chiều nay có làm việc với CFO không?,lich_lam_viec
chiều nay họp với những ai?,lich_lam_viec
ngày mai họp với những ai?,lich_lam_viec
ai tham gia họp ngày mai?,lich_lam_viec
ai tham gia họp chiều nay?,lich_lam_viec
cuộc họp hôm thứ 6 có những ai?,lich_lam_viec
hủy cuộc họp ngày mai,lich_lam_viec
hủy cuộc họp cuối tuần,lich_lam_viec
hủy cuộc họp với chủ tịch,lich_lam_viec
hoãn cuộc họp với tổng giám đốc,lich_lam_viec
đổi giờ cuộc họp định kỳ,lich_lam_viec
mai bỏ họp giao ban,lich_lam_viec
tuần tới bỏ hết tất cả cuộc họp,lich_lam_viec
mai có báo cáo nào không?,lich_lam_viec
gửi báo cáo trước 9 giờ ngày mai,lich_lam_viec
họp định kỳ mấy giờ?,lich_lam_viec
hủy cuộc hẹn với đối tác tuần này,lich_lam_viec
đổi lịch họp sáng tuần sau,lich_lam_viec
Có hôm nào tuần này phải đi làm sớm không,lich_lam_viec
Tuần này tôi có thêm đối tác mới. Hủy cuộc họp giao ban sáng thứ 2 tuần tới và thay vào lịch đi ăn với đối tác,lich_lam_viec
Những công việc hôm nay tôi cần hoàn thành là gì,lich_lam_viec
Gửi tôi những báo cáo tôi phải hoàn thành trong tuần này ,lich_lam_viec
Gửi tôi lịch thuyết trình về dự án mới,lich_lam_viec
Gửi tôi lịch làm việc của những nhân viên mới vào công ty trong tuần này,lich_lam_viec
Cho tôi lịch nghỉ việc sắp tới của những nhân viên sắp rời công ty,lich_lam_viec
Từ giờ tới lúc bắt đầu đi làm offline còn bao nhiêu ngày nữa,lich_lam_viec
Ngày mai phải đi làm từ mấy giờ tới mấy giờ,lich_lam_viec
Tuần sau có cuộc họp nào quan trọng không,lich_lam_viec
Từ giờ tới đại hội cổ đông của công ty còn bao lâu,lich_lam_viec
Hãy cho tôi biết lịch làm việc ngày mai,lich_lam_viec
Ngày mai có việc gì không vậy,lich_lam_viec
Bạn cho tôi thông tin về lịch học ngày mai nào,lich_lam_viec
Chiều nay tôi có phải học môn gì không,lich_lam_viec
Chiều nay tôi có phải làm gì gì không,lich_lam_viec
Chiều nay tôi có gì phải học không,lich_lam_viec
Chiều nay tôi có gì phải làm không,lich_lam_viec
Tối nay tôi có gì phải học không,lich_lam_viec
Tối nay tôi có phải làm gì gì không,lich_lam_viec
Tối nay tôi có gì phải học không,lich_lam_viec
Tối nay tôi có gì phải làm không,lich_lam_viec
Sáng nay tôi có phải học môn gì không,lich_lam_viec
Sáng nay tôi có phải làm gì gì không,lich_lam_viec
Sáng nay tôi có gì phải học không,lich_lam_viec
Sáng nay tôi có gì phải làm không,lich_lam_viec
Trưa nay tôi có gì phải học không,lich_lam_viec
Trưa nay tôi có phải làm gì gì không,lich_lam_viec
Trưa nay tôi có gì phải học không,lich_lam_viec
Trưa nay tôi có gì phải làm không,lich_lam_viec
Chút nữa tôi có cuộc hẹn nào không,lich_lam_viec
Lát nước tôi có phải làm gì không,lich_lam_viec
Mai tôi có cần phải làm điều gì không,lich_lam_viec
Tôi còn việc gì cho ngày mai không ,lich_lam_viec
Tôi còn việc gì cho tối nay không,lich_lam_viec
Cho tôi xem lịch trình những ngày tới ,lich_lam_viec
Cho tôi xem lịch trình những ngày mốt ,lich_lam_viec
Liệu ngày mai tôi có phải làm gì không,lich_lam_viec
Công việc ngày tối nay tôi cần làm là gì,lich_lam_viec
Cho tôi xem lịch ngày mai với,lich_lam_viec
Hãy cho tôi biết mai tôi cần làm gì,lich_lam_viec
Đặt cho tôi nhà hàng này đi,dat_nha_hang
đặt nhà hàng Trung Quốc cho tôi,dat_nha_hang
Đặt lịch đi ăn tối bún đậu,dat_nha_hang
Đặt nhà hàng gần đây nhất ,dat_nha_hang
Đặt cho tôi 5 chỗ tại Sen Hồ Tây,dat_nha_hang
Đặt tôi cơm tối từ nhà hàng tôi hay ăn,dat_nha_hang
Đặt tôi quán ở nhà hàng người yêu cũ tôi hay ăn,dat_nha_hang
Ship tôi sushi của Nhật,dat_nha_hang
Đặt tôi quán Nhật có lượng rating cao nhất trên Google trong bán kính 5km,dat_nha_hang
Cho tôi vài món tôi hay ăn,dat_nha_hang
Cho tôi đặt mấy món ăn chay,dat_nha_hang
Ship cho tôi 1 suất bún chả đến công ty,dat_nha_hang
Cho tôi 1 cốc trà sữa Royaltea về nhà,dat_nha_hang
Ship tôi 1 suất cơm gà ăn trưa,dat_nha_hang
Gọi cho nhà hàng Trung Quốc,dat_nha_hang
Đặt nhà chay,dat_nha_hang
Gọi cho nhà hàng Nhật,dat_nha_hang
đặt bàn ăn tối nay ,dat_nha_hang
"tối nay, đặt tiệc tại nhà Bếp Việt",dat_nha_hang
nhà hàng Trung còn trống chỗ không?,dat_nha_hang
Nhà hàng Nhật còn trống chỗ không?,dat_nha_hang
Nhà hàng Hàn Quốc còn trống chỗ không?,dat_nha_hang
đặt Món Huế,dat_nha_hang
đi ăn shushi tối nay,dat_nha_hang
ngày mai đặt tiệc trưa cho 10 người,dat_nha_hang
đặt tiệc cuối tuần cho công ty,dat_nha_hang
hẹn đi ăn với đối tác tối nay,dat_nha_hang
đặc tiệc sau cuộc họp chiều nay,dat_nha_hang
"cuối tuần, đi ăn món Trung ",dat_nha_hang
"tối nay, đi ăn món nướng",dat_nha_hang
tối nay đi ăn lẩu,dat_nha_hang
tối nay ăn hải sản,dat_nha_hang
"sau cuộc họp trưa mai, đặt bàn ở căn tin",dat_nha_hang
đặt bàn 4 người ,dat_nha_hang
đặt tiệc 2 người tối mai,dat_nha_hang
đặc tiệc cho team trưa mai,dat_nha_hang
tìm nhà hàng cách nhà không quá 5km,dat_nha_hang
có nhà hàng nào cách công ty 2km không?,dat_nha_hang
tìm nhà hàng Nhật gần công ty,dat_nha_hang
tìm nhà hàng Trung gần công ty,dat_nha_hang
tìm nhà hàng Hàn Quốc gần công ty,dat_nha_hang
tìm nhà hàng Nhật gần nhà,dat_nha_hang
có nhà hàng Trung gần nhà không,dat_nha_hang
tìm nhà hàng quanh đây,dat_nha_hang
có nhà hàng chay gần đây không,dat_nha_hang
tìm nhà hàng chay gần văn phòng,dat_nha_hang
"trong vòng 2km, có nhà hàng nào không?",dat_nha_hang
Cho tôi list nhà hàng nổi tiếng tại Hà Nội,dat_nha_hang
Ship cho tôi tô phở,dat_nha_hang
Đặt tôi bàn lẩu Manwah,dat_nha_hang
Gần đây có nhà hàng Haidilao không,dat_nha_hang
Ship tôi vài món ở chuỗi Sumo,dat_nha_hang
Đặt tiệc bàn 5 người ở lẩu Wang,dat_nha_hang
Đặt chỗ ăn tối cho 2 người với không gian lãng mạn,dat_nha_hang
Hãy đặt cho tôi ở nhà hàng mà tôi hay đi,dat_nha_hang
Hãy đặt cho tôi chổ ở nhà hàng tôi hay đi ,dat_nha_hang
Hãy đặt cho tôi quán cho quang cảnh đẹp,dat_nha_hang
Hãy đề xuất cho tôi một nơi có tầm nhìn ra biển,dat_nha_hang
Hãy kiếm cho tôi quán ăn có giá bình dân,dat_nha_hang
Hãy kiếm cho tôi quán ăn có giá cả phải chăng,dat_nha_hang
Chọn dùm tôi một cửa hàng vừa ngon vừa rẻ,dat_nha_hang
Hãy đề xuất một quán ăn ngon bổ rẻ,dat_nha_hang
Hãy kiếm dùm tôi một quán bánh canh vừa rẻ vừa gần,dat_nha_hang
Đề xuất dùm tôi vài chỗ ăn món ăn nhật với,dat_nha_hang
Đề xuất dùm tôi vài chỗ ăn món ăn hàn với,dat_nha_hang
Bạn có biết chỗ nào ăn món Ấn ngon không,dat_nha_hang
Bạn có biết quán ăn nào đạm chất Hà Nội không,dat_nha_hang
Bạn biết quán nào có món cơm tấm ở Huế không,dat_nha_hang
Hãy đặt dùm tôi một quán bún thịt nướng giá không cao,dat_nha_hang
Hãy đặt dùm tôi một quán phở ngon nhất gần đây,dat_nha_hang
Bạn hãy đặt lịch cho tôi vào sáng ngày mai tại quán cơm đầu ngõ,dat_nha_hang
Đặt dùm tôi một chỗ tại quán phở bên sông Hồng,dat_nha_hang
Hãy đặt dùm tôi một vé buffet trên sông ,dat_nha_hang
Hãy đặt cho tôi một vé ăn sáng trên cao,dat_nha_hang
Bạn hãy đặt cho tôi quán ngon nhất ở Hà Nội,dat_nha_hang
Đặt dùm tôi hai người ở quán phở đối diện,dat_nha_hang
Đặt cho tôi hai chỗ ở quán mì gà,dat_nha_hang
Đặt cho tôi ở một quán bán lẩu dê dùm,dat_nha_hang
Đặt hộ tôi ở của hàng bánh mì với,dat_nha_hang
Đặt hộ chỗ ăn lẫu ở ngoài nhà hàng vưới,dat_nha_hang
Kiếm và đặt dùm tôi một quán ăn ngon và gần đây ,dat_nha_hang
Hãy chọn và đặt dùm tôi một quán có bán đồ thái,dat_nha_hang
Đặt dùm tôi một quán không bỏ lá hành,dat_nha_hang
Kiếm và đặt hộ tôi quá bỏ rất nhiều hành,dat_nha_hang
Đặt giùm tôi cốc trà sữa chân trâu giảm 50% đường,dat_nha_hang
Chọn giùm tôi món ăn giàu protein,dat_nha_hang
Tháng vừa qua tôi hay đi ăn những nhà hàng nào,dat_nha_hang
Đặt tôi quán ăn có lượng khách cao nhất trong quận Cầu Giấy,dat_nha_hang
Tìm tôi quán ăn tuân thủ đầy đủ quy định phòng dịch Covid 19,dat_nha_hang
Cho tôi 1 món ăn nhẹ vào buổi chiều,dat_nha_hang
Đặt tôi gà cay tại Mr.Dakgalbi,dat_nha_hang
Giới thiệu tôi món ăn tốt cho người giảm béo,dat_nha_hang
Đặt báo thức lúc 5h cho tôi,dat_bao_thuc
Đặt báo thức  6h cho tôi,dat_bao_thuc
đánh thức tôi lúc 9h,dat_bao_thuc
Đánh thức tôi lúc 1 giờ 55 ,dat_bao_thuc
Đánh thức tôi sau 30 phút nữa,dat_bao_thuc
3 giờ rưỡi kiêu tui dậy nha,dat_bao_thuc
7 giờ gọi tôi đi tập thể dục ,dat_bao_thuc
 12 giờ nhớ nhắc tôi ăn trưa,dat_bao_thuc
19 giờ nhớ nhắc tôi có kèo lol ,dat_bao_thuc
Báo cho tôi khi nào tới 6 giờ,dat_bao_thuc
Gọi tôi dậy lúc 6 giờ 30 nhé,dat_bao_thuc
Gọi tôi dậy lúc 8h30 mỗi ngày nhé,dat_bao_thuc
Báo thức lúc 10h cho tôi,dat_bao_thuc
Hẹn báo thức lúc 6h cho tôi nhé,dat_bao_thuc
Đổi báo thức 6 giờ sang 5 giờ 30,dat_bao_thuc
Nhắc nhở tôi 30 phút nữa,dat_bao_thuc
báo lại tôi 5 phút nữa,dat_bao_thuc
báo lại tôi 1 tiếng sau,dat_bao_thuc
đặt báo thức 4 giờ chiều nay,dat_bao_thuc
gọi tôi dậy 5 giờ sáng mỗi ngày,dat_bao_thuc
tắt báo thức cuối tuần,dat_bao_thuc
hủy các báo thức vào cuối tuần,dat_bao_thuc
bỏ hết các báo thức hôm nay,dat_bao_thuc
nhắc tôi chạy bộ lúc 5 giờ chiều nay,dat_bao_thuc
gọi lại cho ba lúc 8h tối nay,dat_bao_thuc
nhắc trước cuộc họp 3 giờ chiều nay 15 phút,dat_bao_thuc
hoãn báo thức thêm 30 phút,dat_bao_thuc
hoãn báo thức thêm 1 tiếng,dat_bao_thuc
xóa báo thức lúc 5 giờ,dat_bao_thuc
xóa báo thức lúc 6 giờ,dat_bao_thuc
lặp lại báo thức 10 lần,dat_bao_thuc
lặp lại báo thức mỗi 15 phút,dat_bao_thuc
đổi chuông báo thức sang mặc định,dat_bao_thuc
đổi chuông báo thức về mặc định,dat_bao_thuc
đổi chuông báo thức thành tiếng nhạc,dat_bao_thuc
thay chuôi báo thức bằng nhạc violin,dat_bao_thuc
Tuần sau sẽ là tết. Hủy các báo thức trong tuần sau,dat_bao_thuc
Nhắc tôi tập gym mỗi ngày,dat_bao_thuc
Đặt báo thức cho tôi vào sáng mai lúc 8,dat_bao_thuc
5 phút nữa hãy đánh thức tôi lại,dat_bao_thuc
Một tiêng sau hãy gọi tôi dậy,dat_bao_thuc
Cho tôi đặt báo thức cho 7 giờ ngày mai,dat_bao_thuc
Tắt dùm tôi tất cả báo thức,dat_bao_thuc
Đẩy lùi tất cả báo thức lại đi 30 phút,dat_bao_thuc
Hãy nhắc tôi trong 5 phút nữa,dat_bao_thuc
Đặt dùm tôi báo thức vào 7 giờ sáng mai và lặp lại mỗi 5 phút,dat_bao_thuc
Xóa những báo thức đã đặt vào sáng nay,dat_bao_thuc
Xóa những báo thức đã đặt vào trưa nay,dat_bao_thuc
Xóa những báo thức đã đặt vào chiều nay,dat_bao_thuc
Xóa những báo thức đã đặt vào tối nay,dat_bao_thuc
Xóa những báo thức đã đặt vào lúc nãy,dat_bao_thuc
Hãy đặt báo thức cho tôi giống hôm qua,dat_bao_thuc
Hãy dời thời gian báo thức tiếp theo đi 5 phút,dat_bao_thuc
Hẹn giờ cho tôi vào lúc 3 giờ chiều,dat_bao_thuc
Hẹn giờ cho tôi lịch tối nay,dat_bao_thuc
Hãy đặt cho tôi báo thức cho tôi dựa trên lịch làm việc,dat_bao_thuc
Chuyển nhạc chuông báo thức của tôi thành rung,dat_bao_thuc
Hãy chuyển chuông báo của tôi thành bài hát mà tôi thích,dat_bao_thuc
Hãy báo thức tôi bằng những bài nhạc trịnh,dat_bao_thuc
Chuyển cho tôi từ sang dạng báo thức lặp lại,dat_bao_thuc
Hãy báo thức cho tôi nếu có cuộc gọi đến,dat_bao_thuc
Hãy gọi tôi nếu cho ai đó nhắn tin đến cho tôi,dat_bao_thuc
Hãy đánh thức tôi nếu có ai đó gọi đến cho tôi,dat_bao_thuc
Số dư tài khoản của tôi là bao nhiêu,so_du_tai_khoan
Số dư tài khoản ngày 11 là bao nhiêu,so_du_tai_khoan
Ngày 12 số dư là bao nhiêu,so_du_tai_khoan
Kiểm tra biến động số dư ,so_du_tai_khoan
 Biến động số dư sáng nay ,so_du_tai_khoan
 Biến động số dư chiều nay ,so_du_tai_khoan
Tổng số tiền cộng vào hôm nay ,so_du_tai_khoan
 Tổng số tiền đã trừ hôm nay ,so_du_tai_khoan
 Đọc lịch sử  giao dịch gần nhất,so_du_tai_khoan
Số dư hiện tại ,so_du_tai_khoan
Biến động số dư tháng này ,so_du_tai_khoan
Tổng tiền điện đã đóng tháng này ,so_du_tai_khoan
Số tiền đã  ăn trưa ,so_du_tai_khoan
thẻ ngân hàng của tôi hôm nay có tăng tiền không,so_du_tai_khoan
hôm nay tôi có được nhận thêm khoản tiền nào không,so_du_tai_khoan
Hãy báo cho tôi số dư tài khoản hôm nay,so_du_tai_khoan
số dư tài khoản ngày hôm nay của tôi thế nào,so_du_tai_khoan
kiểm tra giúp tôi thông tin tài khoản với nào,so_du_tai_khoan
ngày hôm nay tài khoản của tôi có bao nhiêu tiền,so_du_tai_khoan
biến động tài khoản ngày hôm nay như thế nào,so_du_tai_khoan
ngày hôm qua tôi thu được bao nhiêu tiền,so_du_tai_khoan
số tiền kiếm được ngày hôm qua là bao nhiêu,so_du_tai_khoan
tài khoản hôm qua thay đổi như thế nào,so_du_tai_khoan
tài khoản hôm nay dao động như thế nào,so_du_tai_khoan
sau khi thanh toán tiền điện tài khoản của tôi còn bao nhiêu tiền,so_du_tai_khoan
sau khi thanh toán tiền nước tài khoản của tôi còn bao nhiêu tiền,so_du_tai_khoan
tài khoản của tôi dao động như nào sau khi thanh toán tiền điện ,so_du_tai_khoan
tài khoản của tôi dao động như nào sau khi thanh toán tiền internet,so_du_tai_khoan
sau khi ăn tối tài khoản của tôi còn bao nhiêu tiền,so_du_tai_khoan
số tiền còn lại của tôi sau bữa sáng,so_du_tai_khoan
số tiền của tôi đã tăng lên bao nhiêu sau khi đầu tư,so_du_tai_khoan
quá trình đầu tư đã mang lại bao nhiêu tiền,so_du_tai_khoan
Số tiền kiếm được sau khi chơi cổ phiếu là bao nhiêu,so_du_tai_khoan
kiểm tra số dư hiện tại,so_du_tai_khoan
đã nhận được tiền chưa,so_du_tai_khoan
hôm nay chuyển đi bao nhiêu,so_du_tai_khoan
hôm nay nhận được bao nhiêu tiền,so_du_tai_khoan
hôm qua chuyển đi bao nhiêu tiền,so_du_tai_khoan
hôm qua nhận được bao nhiêu tiền,so_du_tai_khoan
còn đủ 10 triệu trong tài khoản không,so_du_tai_khoan
có đủ 50 triệu trong tài khoản không,so_du_tai_khoan
có đủ 100 triệu trong tài khoản không,so_du_tai_khoan
tháng này nhận được bao nhiêu tiền,so_du_tai_khoan
tháng này chuyển đi bao nhiêu tiền,so_du_tai_khoan
đã nhận được tiền từ công ty chưa,so_du_tai_khoan
đã nhận được lương chưa,so_du_tai_khoan
lương tháng này nhận được bao nhiêu,so_du_tai_khoan
quý rồi nhận được tổng cộng bao nhiêu,so_du_tai_khoan
quý rồi chuyển đi tổng cộng bao nhiêu tiền,so_du_tai_khoan
đã chuyển đủ 10 triệu cho đối tác chưa,so_du_tai_khoan
đã chuyển đủ 20 triệu cho đối tác chưa,so_du_tai_khoan
đã chuyển đủ 50 triệu cho đối tác chưa,so_du_tai_khoan
đã chuyển đủ 100 triệu cho đối tác chưa,so_du_tai_khoan
số dư hôm nay có biến động gì không,so_du_tai_khoan
số dư tuần này có biến động gì không,so_du_tai_khoan
số dư tháng này có biến động gì không,so_du_tai_khoan
dòng tiền tháng nay âm hay dương,so_du_tai_khoan
dòng tiền tuần này âm hay dương,so_du_tai_khoan
dòng tiền cả năm âm hay dương,so_du_tai_khoan
dòng tiền quý này âm hay dương,so_du_tai_khoan
năm rồi nhận lương từ công ty tổng cộng bao nhiêu,so_du_tai_khoan
Tài khoản sổ tiết kiệm đến đáo hạn sẽ dư bao nhiêu,so_du_tai_khoan
Cập nhật tình hình lỗ/lãi khi đầu tư bitcoin từ đầu tới giờ ,so_du_tai_khoan
Nếu bỏ 10% sô tiền nhàn rỗi tháng này vào đầu tư chứng khoán thì tôi còn bao nhiêu,so_du_tai_khoan
Tra cứu thông tin tài khoản,so_du_tai_khoan
Xem số tài khoản,so_du_tai_khoan
Truy cập vào số tài khoản,so_du_tai_khoan
Xem tiền,so_du_tai_khoan
Mở ví,so_du_tai_khoan
Hãy mở ví tiền của tôi,so_du_tai_khoan
Số tiền hiện tại của tôi là bao nhiêu,so_du_tai_khoan
Hãy cho tôi xem số tiền mà tôi đang có ,so_du_tai_khoan
Tôi còn bao nhiêu tiền vậy,so_du_tai_khoan
Hãy hiển thị số tiền mà tôi đang còn có,so_du_tai_khoan
Kiểm tra số tiền trong tài khoản,so_du_tai_khoan
Kiểm tra dùm tôi số dư còn lại,so_du_tai_khoan
Số dư tôi còn lại là bao nhiêu ,so_du_tai_khoan
Tôi hiện tại đã tiết kiệm được bao nhiêu tiền,so_du_tai_khoan
Tôi đã tiết kiệm được tổng cộng bao nhiêu,so_du_tai_khoan
Hãy cho tôi thấy số tiền tôi còn để tiêu xài,so_du_tai_khoan
Số dư trong tài khoản của tôi là mấy,so_du_tai_khoan
Tôi xem tiền trong ví của tôi,so_du_tai_khoan
Hãy xác nhận số tài khoản mà tôi đang có trong ví,so_du_tai_khoan
Cho tôi xem số tiền mà tôi đã dành dụm được,so_du_tai_khoan
Có bao nhiêu tiền đang còn trong tài khoản ngân hàng ,so_du_tai_khoan
Cho tôi xem số tiền trong thẻ,so_du_tai_khoan
Tôi còn bao nhiêu tiền trong thẻ,so_du_tai_khoan
Hãy cho tôi xem số lượng tiền mà tôi để trong tài khoản,so_du_tai_khoan
Số tài khoản hiện tại của tôi là bao nhiêu,so_du_tai_khoan
Hãy cho tôi xẹm số tài khoản tôi đang có là nhiêu,so_du_tai_khoan
Tiền trong tài khoản của tôi có thay đổi không,so_du_tai_khoan
